지점ID,지점명,전화번호,도로명주소,지번주소,관리주체,공통관리여부
11722243,KDB산업은행 도곡지점,02-3498-3800,"서울특별시 강남구 남부순환로 2803, 아카데미스위트","서울특별시 강남구 도곡동 467-7, 아카데미스위트 2층",네이버,O
11722244,KDB산업은행 마포지점,02-3140-0400,서울특별시 마포구 양화로 127,서울특별시 마포구 서교동 353-4,네이버,O
11722246,KDB산업은행 서초지점,02-3488-7500,"서울특별시 서초구 서초대로78길 5, 대각빌딩",서울특별시 서초구 서초동 1319-6,네이버,O
11722247,KDB산업은행 압구정지점,02-3218-0900,서울특별시 강남구 논현로 878,"서울특별시 강남구 신사동 611, 중산빌딩 1층",네이버,O
11722248,KDB산업은행 여의도지점,02-2000-0600,"서울특별시 영등포구 의사당대로 97, 교보증권",서울특별시 영등포구 여의도동 26-4,네이버,O
11722249,KDB산업은행 잠실지점,02-2240-8200,"서울특별시 송파구 올림픽로 289, 잠실시그마타워",서울특별시 송파구 신천동 7-19,네이버,O
11722250,KDB산업은행 종로지점,02-398-6700,"서울특별시 종로구 율곡로 6, 트윈트리타워 A동 1~2층",서울특별시 종로구 중학동 14,네이버,O
11722251,KDB산업은행 본점 영업부,02-787-5717,서울특별시 영등포구 은행로 14,서울특별시 영등포구 여의도동 16-3,네이버,O
12106716,KDB산업은행 본점,02-787-4000,"서울특별시 영등포구 은행로 14, 한국산업은행",서울특별시 영등포구 여의도동 16-3,개별점주,O
13304527,KDB산업은행 김해지점,055-310-2220,"경상남도 김해시 경원로73번길 15, 경보 더숨시티 2층",경상남도 김해시 내동 1138-1,개별점주,O
17483679,KDB산업은행 당진지점,041-359-2600,"충청남도 당진시 당진중앙2로 211-15, 산업은행",충청남도 당진시 읍내동 266,네이버,O
18473721,KDB산업은행 한티지점,02-3469-2300,"서울특별시 강남구 도곡로 408, 디마크 빌딩 3층",서울특별시 강남구 대치동 1024,네이버,O
18587491,KDB산업은행 김포지점,031-980-8800,"경기도 김포시 중봉로 15, 청담메디컬센터 2층","경기도 김포시 감정동 506, 청담메디컬센터 2층",네이버,O
19711866,KDB산업은행 용인지점,031-280-6100,"경기도 용인시 기흥구 동백중앙로 269, 벤포스타",경기도 용인시 기흥구 중동 830-3,네이버,O
19777617,KDB산업은행 반포지점,02-3488-8500,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가","서울특별시 서초구 반포동 18-3, 래미안퍼스티지중심상가 5층",개별점주,O
19777748,KDB산업은행 가산지점,02-2081-3500,"서울특별시 금천구 가산디지털1로 128, STX V-TOWER 2층","서울특별시 금천구 가산동 371-37, STX V-TOWER 2층",개별점주,O
20154755,KDB산업은행 원주지점,033-760-3800,"강원도 원주시 건강로 1, 리젠트파크 2층",강원도 원주시 반곡동 1901-2,개별점주,O
20329845,KDB산업은행 서소문지점,02-398-9500,"서울특별시 중구 서소문로 115, 한산빌딩 1층","서울특별시 중구 서소문동 47-2, 한산빌딩 1층",개별점주,O
21250701,KDB산업은행 도곡지점대치영업단,02-2193-4100,"서울특별시 강남구 남부순환로 2935, 1층","서울특별시 강남구 대치동 605, 1층",개별점주,O
21587979,KDB산업은행 잠원지점,02-2240-1500,서울특별시 서초구 강남대로 565,서울특별시 서초구 잠원동 36-14,네이버,O
21698236,KDB산업은행 판교지점,031-779-8100,"경기도 성남시 분당구 판교역로 152, 2층",경기도 성남시 분당구 백현동 537,개별점주,O
21711391,KDB산업은행 아산지점,041-537-2300,충청남도 아산시 번영로234번길 2,충청남도 아산시 모종동 568-2,네이버,O
30863899,KDB산업은행 동탄지점,031-350-1200,"경기도 화성시 동탄솔빛로 51, 인창프라자","경기도 화성시 반송동 220-5, 인창프라자 2층",개별점주,O
31010147,KDB산업은행 경산지점,053-819-1900,"경상북도 경산시 대학로 73, SY빌딩 2층",경상북도 경산시 정평동 255-120,네이버,O
31010175,KDB산업은행 성동지점,02-3408-9600,"서울특별시 성동구 성수이로20길 3, 세종빌딩","서울특별시 성동구 성수동2가 317-23, 세종빌딩 2, 3층",개별점주,O
31067905,KDB산업은행 양산지점,055-380-8500,경상남도 양산시 양산역6길 9,"경상남도 양산시 중부동 687-1, BYC빌딩 2층",개별점주,O
36271217,KDB산업은행 송도지점,032-540-8300,"인천광역시 연수구 인천타워대로 99, 애니오션빌딩","인천광역시 연수구 송도동 11-104, 애니오션빌딩1층",개별점주,O
37611193,KDB산업은행 오창지점,043-249-2400,"충청북도 청주시 청원구 오창읍 중심상업로 47, 오창리치아노오피스텔 2층",충청북도 청주시 청원구 오창읍 양청리 792-1,개별점주,O
38557075,KDB산업은행 군산지점,063-440-3600,"전라북도 군산시 월명로 206, 삼익빌딩 2층","전라북도 군산시 수송동 854-2, 삼익빌딩 2층",네이버,O
1028210403,KDB산업은행 제주지점,064-720-1700,제주특별자치도 제주시 신형로 51,제주특별자치도 제주시 노형동 3784-8,개별점주,O
1376099524,KDB산업은행 마곡지점,02-398-9600,서울특별시 강서구 공항대로 200,"서울특별시 강서구 마곡동 799-4, 2층",개별점주,O
1528018260,KDB산업은행 대구지점,053-606-2500,대구광역시 북구 호암로 51,대구광역시 북구 침산동 1757,개별점주,O
1643104943,KDB산업은행 하남지점,031-5175-2100,"경기도 하남시 미사강변한강로 177, 산업은행 IT센터 사무동 1층",경기도 하남시 망월동 836-1,개별점주,O
1995174654,KDB산업은행 부천지점,032-620-1200,경기도 부천시 송내대로 88,경기도 부천시 상동 446,개별점주,O
1338898724,KDB산업은행 해양산업금융실,,"부산광역시 남구 문현금융로 40, 부산국제금융센터(BIFC) 22층","부산광역시 남구 문현동 1229-1, 부산국제금융센터(BIFC) 22층",네이버,O
